tweet_cleaned,tweet,polarity
krievij kar ukrain aktuāl mart nat samit vienoj nat atvilk spēk austrum nat spēk koncentrēsi francij krievij brīdinājum nat tuvošan robež ņem vēr nat atkāpj kar drīz gal,"Krievijas karš Ukrainā. Aktuālais 27. martā:  https://t.co/fPSooTSY2z NATO samitā vienojās, ka NATO atvilks savus spēkus no austrumiem. NATO spēki koncentrēsies Francijā. Tā kā Krievijas brīdinājumu par NATO tuvošanos tās robežām ņem vērā un NATO atkāpjas. Vai karam drīz gals?",1
vien galven energoprodukt naft piedzīv cen rekord kāpum,RT @TVNET_zinas: Viens no galvenajiem energoproduktiem - nafta - piedzīvo cenas rekorda kāpumu. https://t.co/x5TfEUUy0z,1
atkal nabag tup krievel kreml fašist vainīg dar sveš zem melīg zaglīg tuparill kar ielīduš ilgāk kreml idiot turpin uzsākt kar ukrain vairāk tieš pasaul izmain,"Atkal nabaga tupajiem krieveļiem, Kremļa fašistiem, visi citi vainīgi - un nevis tas, ko paši dara svešā zemē - ka ar savu melīgo un zaglīgo tuparillu karu tur ielīduši!

Bet jo ilgāk Kremļa idioti turpina savu uzsākto karu Ukrainā, jo vairāk tieši tādēļ pasaulē viss izmainās... https://t.co/cfhLrT5cj4",0
protam raug balt nam koriģ ļot bīstam situācij kar redz ukrain notiek būtisk žest vārd pateikt izlabot nevar acīmredzot baiden vec senil,"@guntarsv @RalfsVilands1 @ugriinis @POTUS Protams, visi raugās - ko pēc tam Baltais nams koriģē. Bet šī ir ļoti bīstama situācija, karš ir ne tikai tas ko redzam, ne tikai Ukraina, bet arī viss tas kas notiek ap to. Būtisks ir katrs žests un vārds. To kas pateikts, izlabot nevar. Acīmredzot, Baidens ir par vecu (senilu).",1
vien galven energoprodukt naft piedzīv cen rekord kāpum,Viens no galvenajiem energoproduktiem - nafta - piedzīvo cenas rekorda kāpumu. https://t.co/x5TfEUUy0z,1
valst prezident kundz andr levit ukrain miruš bērn dvēsel šodien,RT @ltvzinas: @LatvijasTV @lsmlv @DanaIsarova @valstsgriba Valsts prezidenta kundze Andra Levite: Ukrainā mirušo bērnu dvēseles jau šodien…,1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
krievij sākus iznīcināt ukrain naft pārtik krājum savelk papildspēk ukrain robež informēj,"RT @lsmlv: Krievija sākusi iznīcināt Ukrainas naftas un pārtikas krājumus, kā arī savelk savus papildspēkus pie Ukrainas robežas,  informēj…",1
ļot iesak raidījum bosnj kar runājot kar ukrain vieglāk vilkt paralēl ii pasaul kar vislabāk palic atmiņ klausoti raidījum redz daudz biedējoš paralēl,"Ļoti iesaku šo raidījumu par Bosnjas karu. Lai gan runājot par karu Ukrainā mums ir vieglāk vilkt paralēles ar II Pasaules karu, jo tas ir vislabāk palicis atmiņā, klausoties šo raidījumu redzu daudz biedējošas paralēles. https://t.co/ZYd4zLU5OR",1
nacionāl uzpērk progresīv zal derīgāk gal zinām vairākum sarakst kreis galēj kreis partij tej ukrain kreml kar tieš nacionālist,"@aigarius @NSTaisnigums Gan jau ir pa kādam no nacionāļiem (🇷🇺uzpērk visus—arī progresīvos, zaļos). Vai nebūtu derīgāk tikt galā ar tiem, kas mums ir jau zināmi? Vairākums sarakstā ir no kreiso un galēji kreiso partijām (teju 60%). Bet Ukrainā Kremlis karo tieši ar nacionālistiem.https://t.co/UK4euGu8Yy",1
apmēr prāg dzīvojoš kriev šodien protestēj krievij iebrukum ukrain ļot tic rīg vismaz ti,"RT @IvetaBuike: Apmēram 3000 Prāgā dzīvojošo krievu šodien protestēja pret Krievijas iebrukumu Ukrainā. Ļoti ticu, ka arī Rīga ir vismaz ti…",1
kar ukrain daudz izsit līdzsvar atšķirt informācij plūsm svarīg nebūtisk izvērtēt nepakļ,"RT @IvetaBuike: Karš Ukrainā daudzus ir izsitis no līdzsvara. Kā atšķirt informācijas plūsmā svarīgo no nebūtiskā un kā izvērtēt, kā nepakļ…",1
lietuv pareizticīg buntoj pauž skaidr attieksm kar ukrain,RT @Turksivars: Lietuvas pareizticīgie buntojas un pauž skaidru attieksmi par karu Ukrainā https://t.co/KoQaOLhw7b,1
juraš ukrain respekt kritiķ silt dīvān viegl kritizēt,"RT @AKrasevskis: @CardinalisRavus Jurašs ir Ukrainā, tāpēc vien respekts. Kritiķiem no silta dīvāna viegli kritizēt.",1
nabag fašist krievel mēsl cilvēk skat nat vainīg ukrain rašist iebrukum slepkavīb ukrain,"Ak, nabaga fašistu krieveļi, mēsli ne cilvēki - skat, NATO vainīgs Ukrainā esot, nevis pašu rašistu iebrukums un slepkavības Ukrainā! https://t.co/Buf0J2SbO2",0
x pārlasīj muldēšan nesaprat paskaidrot kundz tukšdirsēj partij reāl konkrēt dar veicināt dzīv atgriešan ukrain mierīg slied,"5x pārlasīju. Neko no tās muldēšanas nesapratu. Kāds var paskaidrot, ko kundze no tukšdirsēju partijas reāli un konkrēti darīs, lai veicinātu dzīves atgriešanos Ukrainā mierīgās sliedēs. https://t.co/zHDgzFG8bo",1
perfekt stratēģisk spēl pasaul pārdal detaļ uzzin gad rād tieš asv ru iemānījus iznīcīb slazd ēsm viegl pievienojam ukrain uzķēr,"@TapatiEs Tā ir perfekta stratēģiska spēle pasaules pārdalei, par kuru detaļas uzzinās vien pēc gadiem 40. Tak rādās, ka tieši ASV ir RU iemānījusi iznīcības slazdā. Jā, kā ēsma ir it kā viegli ""pievienojamā"" Ukraina. Uzķērās...",1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
vaicāj izskat atbalst kar ukrain,@MeluMednieks @unaunaunauna Es tev vaicāju jo izskatās ka tu atbalsti karu Ukraina,1
krievij ukrain zaudējus smag tehnik miljard rubl vērtīb skait vismaz tank zaudēt tank vērt,"RT @JanisTeresko: «Krievija Ukrainā zaudējusi smago tehniku 39 miljardu rubļu vērtībā, tai skaitā vismaz 74 tankus T-80. Zaudēto tanku vērt…",1
jācer notikum ukrain blakn latvij daļ atvēr aci lik saprast svarīg panākt valdīt,"RT @NSTaisnigums: Jācer, ka notikumi Ukrainā un to blaknes Latvijā, daļai atvērs acis un liks saprast, cik svarīgi ir panākt, lai valdītu n…",1
igaun iekšl ministr brīdin valst vervēt aģent krievij lab prasot informācij valst robež,"RT @JolantaKublins1: Igauņu iekšl.ministrs brīdina,ka valstī tiek vervēti aģenti krievijas labā...prasot informāciju par valsts robežu,kādi…",1
liek šaubīti kreml medij tieš publicējuš krievij tv propagand šov regulār skandināt gad ilg taisnīb biļeck izvirzīt apsūdzīb ukrain nacism propagand aizliegt,"@juriskazha @Eriks_the_Great @zuravlevs @nekas2020 @realNepareizais @IngaSpringe Kas Jums liek šaubīties,ka Kremļa mediji tieši to pašu nebija publicējuši jau pirms tam?  Krievijas TV propagandas šovos tas tika regulāri skandināts jau gadiem ilgi. Ja tā būtu taisnība,tad pret Biļecki būtu izvirzītas kādas apsūdzības,jo Ukrainā nacisma propaganda ir aizliegta.",1
krievij rietum militār apgabal pirm tank armij komandier ģenerālleitnant sergej kiseļ atbrīvot amat,RT @letanewslv: Krievijas Rietumu militārā apgabala pirmās tanku armijas komandieris ģenerālleitnants Sergejs Kiseļs ir atbrīvots no amata…,1
lietuv pareizticīg buntoj pauž skaidr attieksm kar ukrain,RT @Turksivars: Lietuvas pareizticīgie buntojas un pauž skaidru attieksmi par karu Ukrainā https://t.co/KoQaOLhw7b,1
krievij ukrain zaudējus smag tehnik miljard rubl vērtīb skait vismaz tank zaudēt tank vērtīb miljon sīkum eirop savienīb energoresurs ru samaksājus gandrīz miljard,"«Krievija Ukrainā zaudējusi smago tehniku 39 miljardu rubļu vērtībā, tai skaitā vismaz 74 tankus T-80. Zaudēto tanku vērtība vien ir $185 miljoni» https://t.co/qocTZTE4X2 
Tikai tāds sīkums, ka kopš 24.02 Eiropas Savienība par energoresursiem RU samaksājusi gandrīz €20 miljardus https://t.co/c3WavKiQrG",1
šaub pamat vecāk audzināšan izvēl sasniegt robež,"RT @ervinsk: @bajars @nexta_tv Nav šaubu, ka tas viss tā ir, bet pamatā tomēr ir vecāku audzināšana un pašu izvēles. Sasniegta robeža, aiz…",1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
aizturēt boj gājuš krievij okupant doņeck apgabal ukrain,RT @breakinglv: Aizturētie un bojā gājušie #krievija okupanti #Doņecka apgabalā #Ukraina. https://t.co/qpzrhs2roj,0
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
mariupol ukrain iznīcināšan piedal krievij okupant ruslan geremejev uzskatīt boris ņemcov sle,"RT @breakinglv: #Mariupole #Ukraina iznīcināšanā piedalās #krievija okupants Ruslans Geremejevs, kurš tiek uzskatīts par Borisa Ņemcova sle…",0
kar ukrain latvij zinātniek liek cītīgāk strādāt radioaktīv piesārņojum pretind,Karš Ukrainā Latvijas zinātniekiem liek cītīgāk strādāt pie radioaktīvā piesārņojuma pretindes:  https://t.co/XnvqBP61PP,1
lietuv pareizticīg buntoj pauž skaidr attieksm kar ukrain,RT @Turksivars: Lietuvas pareizticīgie buntojas un pauž skaidru attieksmi par karu Ukrainā https://t.co/KoQaOLhw7b,1
krievij okupant iznīcināt čerņihiv ukrain,#krievija okupantu iznīcinātā #Čerņihiva #Ukraina. https://t.co/Ule6BEeqgp,0
pričom gad revolūcij pīp irt run mahac ukrain gad tav zināšan džavelīn ekipējum dot ukrain pārdot tēvoc sem izdevīg,"@Roberts39451170 @EviEvija Pričom te 17. gada revolūcija? Ko tu pīpē? 😂 Te irt runa par mahaču Ukrainā 2022. gadā! Un, tavai zināšanai, visas džavelīnas un ekipējums tiek dotas ukrainai, nevis pārdotas. Nez vai tēvocim semam tas ir izdevīgi 😂",1
jācer notikum ukrain blakn latvij daļ atvēr aci lik saprast svarīg panākt valdīt,"RT @NSTaisnigums: Jācer, ka notikumi Ukrainā un to blaknes Latvijā, daļai atvērs acis un liks saprast, cik svarīgi ir panākt, lai valdītu n…",1
ukrain krievij karaspēk sākusi kadr tīrīšan,Ukraina: Krievijas karaspēkā sākusies kadru tīrīšana https://t.co/0We3zfGqGp https://t.co/fLs5w897Ma,1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
okupācij vēsturniek kaun izklaus vairāk maskav nam direktor šķiet dzīv okupācij muc piekļuv informācij eirop valst galven faktor kar ukrain cīn dal eirop ķīn kar,"Šis ir mūsu Okupācijas vēsturnieks? Kauns. Izklausās vairāk pēc Maskavas nama direktora. Šķiet, viņš pats vēl dzīvo okupācijas mucā bez piekļuves informācijai. Eiropas valstis ir galvenais faktors šajā karā. Ukraina cīnās par to lai būtu daļa no Eiropas. Kāda vēl Ķīna šajā karā? https://t.co/ZXC0rn0mOB",1
krievij okupant nepārtraukt apšaud dzīvojam māj luhansk apgabal ukrain,#krievija okupanti nepārtraukti apšauda dzīvojamas mājas #Luhanska apgabalā #Ukraina. https://t.co/b1YxSxFu42,0
igaun iekšl ministr brīdin valst vervēt aģent krievij lab prasot informācij valst robež,"RT @JolantaKublins1: Igauņu iekšl.ministrs brīdina,ka valstī tiek vervēti aģenti krievijas labā...prasot informāciju par valsts robežu,kādi…",1
nesen nāc redzēt jaun simbolik saistīb kustīb krievij kar ukrain balt zil balt karog tagad iedziļināj domāt patiesīb ļot dzil jādom kar beigsi notik krievij,"Nesen nācās redzēt jaunu simboliku, saistībā ar kustību pret Krievijas karu Ukrainā, balti-zili-baltu karogu. Tagad tikai iedziļinājos, kas ar to ir domāts. Patiesībā - ļoti dziļi. Ir jādomā ne vien par to, kā/kad šis karš beigsies, bet arī par to, kas notiks ar Krieviju pēc tā. https://t.co/tE1PsAr4bp",1
vien aktuālāk jautājum izglītīb zinātn jom joproj nodrošināt izglītīb proces bērn jaunieš ieraduši latvij bēgot kar ukrain standwithukrain,"Viens no aktuālākajiem jautājumiem izglītības un zinātnes jomā joprojām ir par to, kā tiek un tiks nodrošināts izglītības process bērniem un jauniešiem, kuri ieradušies Latvijā, bēgot no kara Ukrainā. 
#standwithukraine 🇺🇦🇺🇦🇺🇦https://t.co/ZEZtqSHuPV",1
muižkung marinēt gurķ pipargurķīš labāk nebij ievērojus ražot ukrain lielāk iemesl,"RT @mairitagurova: ""Muižkungu"" marinētie gurķi un pipargurķīši ir paši labākie. Nebiju ievērojusi, ka ražoti Ukrainā. Vēl lielāks iemesls n…",1
muižkung marinēt gurķ pipargurķīš labāk nebij ievērojus ražot ukrain lielāk iemesl,"RT @mairitagurova: ""Muižkungu"" marinētie gurķi un pipargurķīši ir paši labākie. Nebiju ievērojusi, ka ražoti Ukrainā. Vēl lielāks iemesls n…",1
ork priecāt garabrāl sastrādāt ukrain neb citād fotogrāfij uztvert panākum atspoguļojum,"@Apvaarsnis Orki jau tikai priecātos par garabrāļu sastrādāto Ukrainā. Neba nu viņi citādi tās fotogrāfijas uztvertu, kā panākumu atspoguļojumu.",1
veidoj jaun pasaul var centr joproj asv ķīn krievij kar uzvar eirop eirop,"RT @ltvzinas: Veidojas jauna pasaule, kurā varas centri joprojām ir ASV, Ķīna, varbūt Krievija, ja tā šo karu uzvarēs. Bet Eiropa un Eiropa…",1
jācer notikum ukrain blakn latvij daļ atvēr aci lik saprast svarīg panākt valdīt,"RT @NSTaisnigums: Jācer, ka notikumi Ukrainā un to blaknes Latvijā, daļai atvērs acis un liks saprast, cik svarīgi ir panākt, lai valdītu n…",1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
ćečen ukrain beidzot atraduš līgav priek nebeidz,RT @heckler33: Ćečeni sev Ukrainā beidzot atraduši līgavu! Prieki nebeidzas! https://t.co/sPi35CXLMQ,1
mūsēj spēj vairāk ukrain liel ukrain krit gad maz latvij pastāvēj liel netik,"RT @Eraksti: @R_Medne Mūsējie spēj vairāk par ukraiņiem. - Lielā Ukraina krita jau 1920.gadā, bet mazā Latvija pastāvēja; lielā U. netika N…",1
ukrain kar russland tieš zelensk ievēlēšan ukrain armij finansējum atbalst samazināt virzīb nat būtisk palēlināt vairāk vien faktor russland uzsāk iebrukum tieš tagad,"@breakinglv Ukraina karo ar ruSSlandi kopš 2014 un tieši pēc Zelenska ievēlēšanas Ukrainas armijas finansējums un atbalsts tiek samazināts, virzība NATO tiek būtiski palēlināta , ja ne vairāk. Tas ir viens no faktoriem, kāpēc vispār ruSSlande uzsāka iebrukumu tieši tagad.....",1
veln meņķar ziep ast srok dnb bank reiderism vzjatk mūk srok pam,"RT @KislovsVadims: @CardinalisRavus Velns - tas meņķara ziepē asti no sroka par DnB bankas reiderisma vzjatku , vnk mūk no sroka jo bez pam…",1
veln meņķar ziep ast srok dnb bank reiderism vzjatk mūk srok pamatojum bild nepublic kukuļņemšan fakt eu apmēr ukrain žurk dzil dirs ment jebkur valst ment,"@CardinalisRavus Velns - tas meņķara ziepē asti no sroka par DnB bankas reiderisma vzjatku , vnk mūk no sroka jo bez pamatojuma Bild nepublicē kukuļņemšanas faktu 500 000 eu apmērā un Ukraina šai žurkai ir dziļi pie dirsas . Ments jebkurā valstī ir un būs Ments",0
muižkung marinēt gurķ pipargurķīš labāk nebij ievērojus ražot ukrain lielāk iemesl,"RT @mairitagurova: ""Muižkungu"" marinētie gurķi un pipargurķīši ir paši labākie. Nebiju ievērojusi, ka ražoti Ukrainā. Vēl lielāks iemesls n…",1
jakrin nekād nemulsin ušakov melīg rašistisk vēstījum svinēšan nevar notikt pieminekl doti jāļauj fotogrāfij kriev kar noziegum ukrain lab liet pieminekl nevajag izvietot,"Jakrinu turpretī nekādi nemulsina Ušakova melīgais, rašistiskais vēstījums: ""svinēšana nevar notikt, bet pie pieminekļa doties jāļauj"" un  ""Fotogrāfijas ar krievu kara noziegumiem Ukrainā ir laba lieta, bet pie pieminekļa tās gan nevajag izvietot""... https://t.co/PaTNjJVar4",1
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
zinām patreizēj asv prezident kijev maidan laik nolūkoj viesnīc log uzdoš paš veid jautājum katr miruš ukrain zin nogalināj šāv kadarbīb zon acīm redzēj,"@100gOfTruth @EviEvija Ja nav zināms, tad patreizējais ASV prezidents bija Kijevā maidana laikā un nolūkojās caur viesnīcas logu. Uzdošu tāda paša veida jautājumu: Vai biji pie katra mirušā Ukrainā, ka zini kas nogalināja un šāva, ka bez maz vai pats biji kadarbību zonā un visu pats savām acīm redzēji?",0
jācer notikum ukrain blakn latvij daļ atvēr aci lik saprast svarīg panākt valdīt,"RT @NSTaisnigums: Jācer, ka notikumi Ukrainā un to blaknes Latvijā, daļai atvērs acis un liks saprast, cik svarīgi ir panākt, lai valdītu n…",1
ukrain prezident zeļensk kras kritiz rietum valst līder baid ukrain piegādāt letāl ieroc neskat,"RT @breakinglv: #Ukraina prezidents Zeļenskis krasi kritizē Rietumu valstu līderus, kuri baidās ukraiņiem piegādāt letālos ieročus, neskato…",1
asv balt nam pres sekretār džen psak atteikum sniegt ukrain nepieciešam bruņojum bail ukrain izmantot krievij teritorij cīņ okupant izraisīt pasaul kar,"#ASV Baltā nama preses sekretāre Džena Psaki atteikumu sniegt #Ukraina nepieciešamo bruņojumu ar bailēm, ka ukraiņi to var izmantot #krievija teritorijā cīņā ar okupantiem un kas var izraisīt pasaules karu. https://t.co/Tqx8H8CzNE https://t.co/BnGyh33GGm",0
pretsmēķēšan kampan ukrain atmet smēķēšan citād nomirs nepiedzīvos nosprāg putin,"RT @Dzherijs: ""Pretsmēķēšanas kampaņa Ukrainā: Atmet smēķēšanu, citādi tu nomirsi un nepiedzīvosi, kā nosprāgs Putins."" https://t.co/aDRDTG…",1
aizturēt boj gājuš krievij okupant doņeck apgabal ukrain,RT @breakinglv: Aizturētie un bojā gājušie #krievija okupanti #Doņecka apgabalā #Ukraina. https://t.co/qpzrhs2roj,0
ukrain prezident zeļensk kras kritiz rietum valst līder baid ukrain piegādāt letāl ieroc neskat,"RT @breakinglv: #Ukraina prezidents Zeļenskis krasi kritizē Rietumu valstu līderus, kuri baidās ukraiņiem piegādāt letālos ieročus, neskato…",1
muižkung marinēt gurķ pipargurķīš labāk nebij ievērojus ražot ukrain lielāk iemesl,"RT @mairitagurova: ""Muižkungu"" marinētie gurķi un pipargurķīši ir paši labākie. Nebiju ievērojusi, ka ražoti Ukrainā. Vēl lielāks iemesls n…",1
aizgāj boj veikt antikonstitucionāl apvērsum ukrain dalīb ņēm rietum cepumin piebarojot maidan lēkājoš cilvēk nepiekrit sadedzināt odes nonāvēt mītin nolēm nodalīti ukrain,"@100gOfTruth @EviEvija Varbūt aizgāja bojā, tāpēc kad tika veikts antikonstitucionāls apvērsums Ukrainā, kur dalību ņēma Rietumi ar cepumiņiem piebarojot maidanā lēkājošos un cilvēki kuri tam nepiekrita, tika sadedzināti Odesā, vai nonāvēti pēc mītiņiem un citi nolēma nodalīties no tādas Ukrainas?",1
muižkung marinēt gurķ pipargurķīš labāk nebij ievērojus ražot ukrain lielāk iemesl nopirkt daž burk,"""Muižkungu"" marinētie gurķi un pipargurķīši ir paši labākie. Nebiju ievērojusi, ka ražoti Ukrainā. Vēl lielāks iemesls nopirkt dažas burkas. https://t.co/hP1O63Dsxf",1
ukrain prezident zeļensk kras kritiz rietum valst līder baid ukrain piegādāt letāl ieroc neskat,"RT @breakinglv: #Ukraina prezidents Zeļenskis krasi kritizē Rietumu valstu līderus, kuri baidās ukraiņiem piegādāt letālos ieročus, neskato…",1
ćečen ukrain beidzot atraduš līgav priek nebeidz,Ćečeni sev Ukrainā beidzot atraduši līgavu! Prieki nebeidzas! https://t.co/sPi35CXLMQ,1
ukrain prezident zeļensk kras kritiz rietum valst līder baid ukrain piegādāt letāl ieroc neskatoti vēlētāj pieprasījum atbalstīt ukrain cīņ krievij okupant,"#Ukraina prezidents Zeļenskis krasi kritizē Rietumu valstu līderus, kuri baidās ukraiņiem piegādāt letālos ieročus, neskatoties uz pašu vēlētāju pieprasījumu atbalstīt Ukrainu cīņā ar #krievija okupantiem. https://t.co/9Djtbgtbih",0
saistīb neveiksm ukrain atlaist krievij tank armij komandier,Saistībā ar neveiksmēm Ukrainā atlaists Krievijas 1.tanku armiju komandieris https://t.co/A86LGVoi3R,1
