content	polarity	
Bet kā savādāk? Pat teorētiski nekas cits nav iespējams	SPEECH	
Krievijas federācijas daļa, bet tu esi gomoseks, ja tā sacepies pie šī raksta? 	HATE	
Tagad IDB vajag aizturēt kādu no KNAB....	SPEECH	
Nav interesanta tēma.	SPEECH	
Bildēs lielāka daļa izskatās tā, it kā kaut kas būtu bijis pie kafijas piebērts	SPEECH	
kremļafīlam sava pasaku taisnība..... nav pat jēga oponēt tādus , jo putinizma slimība diez vai ir izārstējama....	HATE	
Parādnieks kā ĀBOLTIŅA,ja ne pa durvīm tad pa logu.Kā vispār šim cilvēkam nav kauna un vēl par tādiem balsot. 	SPEECH	
Pietiek apskatīt KPVLV programmu, lai saprastu, ka šī šobrīd ir vienīgā no trīs galvenajām viņu prioritātēm, kuru vismaz formāli ir iespējams izpildīt, jo nekas cits neies cauri.	SPEECH	
Jā, Rīga lūdz dotēt no valsts Rīgas Satiksmi un vēl vis kaut ko. Visa bagātā Latvija sametas, lai nabaga Rīga izdzīvotu. Bet tik un tā Rīga beigās paliek ar budžeta deficītu.	SPEECH	
Tikko Ltv1 panorāma ,Kariņa valdība utt,,bet kur tad ir tā neatkarīgās panorāmas valdība,kas par tiem meliem atbild? Tikko tv24 kārtības rullis,kur Liepnieks stāsta savu kristāl dzidro stāstu,vienīgo neapgāžamo patiesību,vai Kreituses students? Kā intereses pārstāv ,Liepnieks,vai tv24?Vai 22janvārī būs -20 un vai būs pilnmēnes?	SPEECH	
Igaunijā, gadus atpakaļ, sanāca šmuces ar Krievijas aģentu kas daudzus gadus nostrādāja Igaunijas drošības struktūrās .Kad tad viņš tika savervēts ,pēc neatkarības atgūšanas vai pirms ? Igaunijā arī bija Čekas maisi ...Kāds secinājums .....	SPEECH	
Par mazāk labvēlīgo zemju atbalstu pagājušogad jau noņēma, šogad par ierobežojumiem atbalstu atceļ. Vai tik kāds valdībā nav atradis kārtējo naudas summu?	SPEECH	
Skumji! Daudzās nozīmēs. Kā rāda LV pieredze, politologam Pabrikam atgriešanās savā profesijā ir liegta. 	SPEECH	
Policija meklē pazudušo Ledāju	SPEECH	
Skumji, ka mums visos laikos ir tik daudz pašlabuma meklētāju. Tāpēc jau arī tautai ciešanas un valstij atpalicība...	SPEECH	
"Nu tad beidzot bus 6 kameras. \
Pasini bus 360° a ne tikai smukgimjus insta redzet , bet ari twerkingu uzreiz :D"	SPEECH	
Pilsētnieki,neceriet,kā piens un gaļa kļūs lētāki! Interesanti vai leiši un poļi arī atteikušies no nelabvēlīgā? Ja ne,pārdošu šiem!	SPEECH	
Tu ,par apšaubāmo kariņu un piesedzēju ašeradenu.Neko nav sapratuši un tāpēc 22 janvāris būs pirmā diena un ja vajadzēs,tad 23,24	SPEECH	
Tā jau katra brīva izvēle, noteikti nav sliktākais Latvijas pārstāvis. Žēl vienīgi ka no tāda saķēzīta saraksta. Tas diemžēl uzliks zīmogu.	SPEECH	
Bet tik aizraujošs, un šāda rakursa uzfimējums vēl nav redzēts! 	SPEECH	
Kad jau rūpnīcā valdīja neatkarībad ,,gars,, tad kolēģis uz virpas bija uzīmējis Latvijas karogu maziņu,bet priekšnieks latvietis to nosūdzēja čekai.Arī es riskēju un slēpu armijas puišus lai nebūtu jāiet krievos.	SPEECH	
Un kā ar šo ierīču lietderības koeficientu, vai arī tas nav tik svarīgi, galvenais ka citiem nav, vai ne?	SPEECH	
Lai dzīvo tautu draudzība! Viņi taču ir tik galanti, pieklājīgi, dāsni... nu ne tādi kā latviešu veči!	SPEECH	
šī pētniecība - barotava.	SPEECH	
Farmācijas bizness uzņem apgriezienus! Stitrināsim imūnsistēmu un nekādas vakcīnas un zāles nevajadzēs!!	SPEECH	
Bet tad čečenijā krievijas federācijas likumi strādā?	SPEECH	
Nesatraucies, viņam arī bija bērni.., viņš zina ko runā!	SPEECH	
Vismaz valdība būs.	SPEECH	
Un kāda tad Krievijā ir minimālā alga? Zini? Uzraksti mums arī.	SPEECH	
Janka jau nevar visas gribētājas izmīlēt.	SPEECH	
Piekrītu pilnīgi Zelta miljardam.	SPEECH	
Laikam septiņas dienas palikušas līdz valdības apstiprināšanai.	SPEECH	
Ugunsgrēks - skatāms?????!!!!	SPEECH	
Jau ilgu laiku valdības bez maz nav.	SPEECH	
dzelzceļam uz Daugavpili gandrīz tādas pašas naudiņas. Savulaik proletariāta vadonis teica - Komunisms , tas ir padomju vara + visas zemes elektrifikācija... un vadoņa mantotāji mums ir.Dažiem pēc šādiem projektiem komunisms ir uzreiz , bet vajadzētu būt restēm.	SPEECH	
Es arī zinu !!! Karsta b u č a !!!	SPEECH	
Īpaši intelektuăļi ir Kaiimiņş un Petravića...	SPEECH	
ko tad jūs klusējat, runājiet- ir tač VĀRDU BRĪVĪBA!	SPEECH	
kamdēļ Ēģiptē laimi meklēt? Gan jau Koknesē vēl kāds dīleris būs palicis uz brīvām kājām	SPEECH	
dirks, nu ASV katrā štatā ir savi likumi, tas tevi nemaz neuztrauc.. :D 	SPEECH	
Jā Veci. Viņi beidzot uzzināja, ka nauda kokos neaug. Ja valdība realizēs visas populistu iegribas, tad valsts parāds pieaugs trīskārt. Kurš to grib?	SPEECH	
Tak briti no ES stājas laukā, par ko man būtu jāraud??? )	SPEECH	
Kpvlv Jūs iesiet jenotu valdībā ???? Manu un manas ģimenes balsis nākotnē jums neredzēt !!!	SPEECH	
Vai tas, ko izdarīja krievi latviešiem 1940.gadā attaisno to, ko latvieši izdarīja ar baltvāciešiem?	SPEECH	
Katrs androīdists sapņo par iphone. Aber, ja kādam tiešām liekas, ka korejiešu androidi ir kas alternatīvs un kruts, tad viņiem nekad nav bijis apple.	SPEECH	
No tā jau nebūs jēgas ,jo nāks vietā citi kuri gribēs ātri nopelnīt 	SPEECH	
Jā, sen neesmu pats tik zemu spiedienu redzējis uz sava barometra. Bet šovakar - viegli mākonīši un spožs mēness. Sācis piesalt.	SPEECH	
Mūsu ārlietu ministrs arī baidās ka šo nesāk ārstēt ))))))	SPEECH	
Apsveicami ka ir valsts kas cīnās ar šo epidēmiju .	SPEECH	
IeM vajadzētu nosūtīt kādu uz Grieķiju, pieredzes apmaiņā....	SPEECH	
Cerams, pie kada palicis uz kadu bridi un nekas traks nav noticis. Laaga viirs, vins nemeedz vienkarshi pazust.	SPEECH	
100% Trampu valdība. Pārspēj ASV.	SPEECH	
Jā, patēriņa kredītu arī paņēmu uz baisiem procentiem, bankā, kurā tiek, ieskaitīta alga. Tas bija vienīgais variants. Hipotekāro atteica visas bankas, arī tā, kurā ieskaitās alga. Tas ir absudrs, ja nevar dabūt smieklīgu hipotekāro kredītu 6000 eur, pret īpašumu jūras krastā un divām papildus ķīlām 70 000 EUR vērtībā. 	SPEECH	
KPV paši neprot stādāt, bet traucē citiem. Tāds laikam kopas mērķis.	SPEECH	
vinam taču dzintariņš.........	SPEECH	
Ir ļoti nesmuki rakstīt šādas ziņas, meitene nekur nav pazudusi un nekur nav ieslēgta, meitene pati nevēlas atgriezties!	SPEECH	
kaa jums tā liek domāt? 	SPEECH	
"Saka, ka Gribauskaite arī ir sarakstos vai komunistos bija. \
Lietuvā dauzi biaj komunistos, lai cīnītos par brīvu Lietuvu.. "	SPEECH	
Vispār nav tik vienkārši tikt, ja nav automašīnas. Autobuss reti iet uz Rīgu iet, ceru ka kāds paziña izpalīdzēs mammai. Izturību!	SPEECH	
WOW... Un pat pulstenjmeistars laikraadi ar visaam sekundeem arii ir piesleedzis....	SPEECH	
Ēģiptē arī nav taksis uz katra stūra ar latviski runājošu šoferi. Kundzei pat bankas kartes, cik lasīju FB, neesot. Visai vieglprātīgi skaidru naudu vadāt apkārt, īpaši uz eksotiskajiem austrumiem. 	SPEECH	
Kad saks vert vala ASV vestniecibas un Sorosa maisus?? Lai atgutu nu jau pazaudeto neatkaribu.	SPEECH	
Nu un ģīmji, nebrīnīšos, ka budžets tautai būs nepanesams.	SPEECH	
Lai Dievs dod atrast! Tas ir briesmigi , ka cilveki sadi pazuud.	SPEECH	
